OBJECTID,Join_Count,TARGET_FID,Id,osm_id,highway,waterway,aerialway,barrier,man_made,z_order,other_tags,,,,X,Y
220,3,219,0,1084355648,construction, , , , ,0,"""construction""=>""motorway"",""lanes""=>""3"",""oneway""=>""yes"",""ref""=>""G4223""",,,,113.917509 ,30.528697 
221,4,220,0,1084031019,construction, , , , ,0,"""construction""=>""motorway"",""lanes""=>""3"",""oneway""=>""yes"",""ref""=>""G4223""",,,,113.917892 ,30.527866 
222,4,221,0,1084362559,construction, , , , ,0,"""construction""=>""motorway_link"",""oneway""=>""yes""",,,,113.917974 ,30.527876 
223,4,222,0,1084362556,construction, , , , ,0,"""construction""=>""motorway_link"",""oneway""=>""yes""",,,,113.918118 ,30.530065 
224,4,223,0,117947579,motorway, , , , ,9,"""oneway""=>""yes"",""ref""=>""S15""",,,,113.918357 ,30.529911 
225,4,224,0,821932507,motorway, , , , ,9,"""oneway""=>""yes"",""ref""=>""S15""",,,,113.918454 ,30.529834 
226,3,225,0,1084031019,construction, , , , ,0,"""construction""=>""motorway"",""lanes""=>""3"",""oneway""=>""yes"",""ref""=>""G4223""",,,,113.918621 ,30.526559 
227,4,226,0,1084362559,construction, , , , ,0,"""construction""=>""motorway_link"",""oneway""=>""yes""",,,,113.919209 ,30.528403 
228,3,227,0,1084362553,construction, , , , ,0,"""construction""=>""motorway_link"",""oneway""=>""yes""",,,,113.919260 ,30.526024 
229,3,228,0,1084362556,construction, , , , ,0,"""construction""=>""motorway_link"",""oneway""=>""yes""",,,,113.919309 ,30.530596 
230,3,229,0,1084355648,construction, , , , ,0,"""construction""=>""motorway"",""lanes""=>""3"",""oneway""=>""yes"",""ref""=>""G4223""",,,,113.919396 ,30.525364 
231,3,230,0,1084362559,construction, , , , ,0,"""construction""=>""motorway_link"",""oneway""=>""yes""",,,,113.920207 ,30.530074 
232,3,231,0,1084362556,construction, , , , ,0,"""construction""=>""motorway_link"",""oneway""=>""yes""",,,,113.921020 ,30.531262 
233,3,232,0,821932507,motorway, , , , ,9,"""oneway""=>""yes"",""ref""=>""S15""",,,,113.921049 ,30.531143 
244,4,243,0,821932524,secondary, , , , ,6, ,,,,113.928876 ,30.560745 
246,3,245,0,404543600,primary, , , , ,27,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes"",""surface""=>""asphalt""",,,,113.930537 ,30.560618 
258,3,257,0,793545948,primary, , , , ,7,"""lanes""=>""3"",""oneway""=>""yes""",,,,113.934491 ,30.500655 
261,3,260,0,1084355652,construction, , , , ,0,"""construction""=>""motorway_link"",""oneway""=>""yes""",,,,113.935424 ,30.502167 
264,3,263,0,1084355650,construction, , , , ,0,"""construction""=>""motorway_link"",""oneway""=>""yes""",,,,113.936227 ,30.501371 
265,4,264,0,1084355651,construction, , , , ,0, ,,,,113.936926 ,30.500445 
266,4,265,0,999747525,primary, , , , ,7,"""lanes""=>""3"",""oneway""=>""yes""",,,,113.937028 ,30.500340 
267,4,266,0,1084355651,construction, , , , ,0, ,,,,113.937040 ,30.500435 
