OBJECTID,Join_Count,TARGET_FID,Id,osm_id,name,highway,waterway,aerialway,barrier,man_made,z_order,other_tags,X,Y
8803,4,8802,0,331158297, ,trunk_link, , , , ,28,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes""",114.283113109882152,30.627115823336624
8805,4,8804,0,331158294, ,trunk_link, , , , ,18,"""bridge""=>""viaduct"",""layer""=>""1"",""oneway""=>""yes""",114.283135868125896,30.627328299861176
8806,3,8805,0,27318402,????,primary, , , , ,7,"""name:en""=>""Huangpu Road"",""name:zh""=>""???"",""oneway""=>""yes""",114.283146400086366,30.626759199877199
8807,4,8806,0,136864238,?????,trunk, , , , ,18,"""bridge""=>""viaduct"",""lanes""=>""3"",""layer""=>""1"",""oneway""=>""yes""",114.283152036137608,30.499810284716943
8809,4,8808,0,136864238,?????,trunk, , , , ,18,"""bridge""=>""viaduct"",""lanes""=>""3"",""layer""=>""1"",""oneway""=>""yes""",114.283184166216415,30.499845858299750
8810,4,8809,0,131361923,???,trunk, , , , ,18,"""bridge""=>""viaduct"",""layer""=>""1"",""oneway""=>""yes""",114.283193556937135,30.627260239168777
8811,4,8810,0,392037278,????,trunk, , , , ,28,"""bridge""=>""viaduct"",""layer""=>""2"",""oneway""=>""yes""",114.283237549073647,30.626984570881291
8812,4,8811,0,331158299,???,trunk, , , , ,18,"""bridge""=>""viaduct"",""lanes""=>""3"",""layer""=>""1"",""oneway""=>""yes""",114.283247726701234,30.627196330646200
8813,3,8812,0,925447056, ,trunk_link, , , , ,28,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes""",114.283252799776960,30.465406200036171
8814,3,8813,0,177792569,????,primary, , , , ,7,"""lanes""=>""4"",""oneway""=>""yes""",114.283268199767690,30.592605400119169
8815,4,8814,0,331158297, ,trunk_link, , , , ,28,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes""",114.283281097844451,30.627156959226340
8816,4,8815,0,231436856,?????,primary, , , , ,7,"""oneway""=>""yes"",""ref""=>""G107""",114.283284400155026,30.499780900268377
8817,4,8816,0,231436856,?????,primary, , , , ,7,"""oneway""=>""yes"",""ref""=>""G107""",114.283338200297749,30.499838000023715
8818,4,8817,0,331159366, ,primary, , , , ,7,""oneway""=>""yes"",114.283404299568815,30.626813621451504
8819,3,8818,0,331159366, ,primary, , , , ,7,""oneway""=>""yes"",114.283436200320466,30.627605800067670
8820,4,8819,0,331065068, ,trunk_link, , , , ,48,"""bridge""=>""yes"",""layer""=>""3"",""oneway""=>""yes""",114.283439704978491,30.626995148707181
8821,3,8820,0,456207630,????,primary, , , , ,7,"""lanes""=>""3"",""oneway""=>""yes""",114.283451399762384,30.643869600401786
8823,4,8822,0,331159366, ,primary, , , , ,7,""oneway""=>""yes"",114.283539651134106,30.626901099406268
8825,4,8824,0,331158294, ,trunk_link, , , , ,18,"""bridge""=>""viaduct"",""layer""=>""1"",""oneway""=>""yes""",114.283570634577131,30.627503693740550
8826,3,8825,0,166278586,????,trunk, , , , ,18,"""bridge""=>""viaduct"",""layer""=>""1"",""oneway""=>""yes""",114.283608299983143,30.626836500204377
8827,3,8826,0,1028986730,?????,primary, , , , ,7,"""oneway""=>""yes"",""ref""=>""G107""",114.283626100264428,30.500132000091810
8828,3,8827,0,738531312,???,secondary, , , , ,6,""oneway""=>""yes"",114.283627999632586,30.499789899784105
8829,4,8828,0,331065068, ,trunk_link, , , , ,48,"""bridge""=>""yes"",""layer""=>""3"",""oneway""=>""yes""",114.283648993406359,30.627054507559535
8830,4,8829,0,131361923,???,trunk, , , , ,18,"""bridge""=>""viaduct"",""layer""=>""1"",""oneway""=>""yes""",114.283649008694852,30.627383082063659
8831,4,8830,0,331158299,???,trunk, , , , ,18,"""bridge""=>""viaduct"",""lanes""=>""3"",""layer""=>""1"",""oneway""=>""yes""",114.283669617558871,30.627311042770486
8832,3,8831,0,331159366, ,primary, , , , ,7,""oneway""=>""yes"",114.283671700388709,30.627102599705267
8833,4,8832,0,331065068, ,trunk_link, , , , ,48,"""bridge""=>""yes"",""layer""=>""3"",""oneway""=>""yes""",114.283679923789464,30.627066863345135
8834,4,8833,0,331158297, ,trunk_link, , , , ,28,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes""",114.283682058780073,30.627249079481487
8835,4,8834,0,331158294, ,trunk_link, , , , ,18,"""bridge""=>""viaduct"",""layer""=>""1"",""oneway""=>""yes""",114.283686098534645,30.627571652809593
8836,3,8835,0,331159366, ,primary, , , , ,7,""oneway""=>""yes"",114.283688399899802,30.627217499787832
8837,3,8836,0,29027962,????,primary, , , , ,7,"""lanes""=>""3"",""oneway""=>""yes""",114.283807599641023,30.643789999608828
8838,3,8837,0,231436848,???,secondary, , , , ,6,""oneway""=>""yes"",114.283929400221723,30.499891300143418
8839,4,8838,0,826105809,????,primary, , , , ,7,"""name:en""=>""Huangpu Road"",""name:zh""=>""???"",""oneway""=>""yes""",114.284025379467721,30.626635543095915
8840,4,8839,0,331158297, ,trunk_link, , , , ,28,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes""",114.284122793132497,30.627333164294157
8841,4,8840,0,107271962,????,primary, , , , ,7,""oneway""=>""yes"",114.284230600262049,30.645007800369740
8842,4,8841,0,331158297, ,trunk_link, , , , ,28,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes""",114.284246657657150,30.627337708568461
8843,4,8842,0,188704910,????,primary, , , , ,7,"""maxspeed""=>""60"",""name:en""=>""Haohu Ave"",""oneway""=>""yes"",""surface""=>""paved""",114.284362500229236,30.645197300115342
8844,4,8843,0,107271962,????,primary, , , , ,7,""oneway""=>""yes"",114.284371025802216,30.645061433238595
8845,4,8844,0,27318402,????,primary, , , , ,7,"""name:en""=>""Huangpu Road"",""name:zh""=>""???"",""oneway""=>""yes""",114.284435017062492,30.625974540492678
